"nome_parcela","data_coleta","num_focos","list_data_foco","data_ultimo_foco","diff_dias_data_ultimo_foco_data_coleta"
P1,"2012-05-07",2,"{'2004-11-04','2005-11-01'}",2005-11-01,2379
P11,"2010-10-18",5,"{'2000-09-22','2003-10-21','2004-11-10','2007-10-03','2007-10-28'}",2007-10-28,1086
P12,"2010-10-12",25,"{'2001-12-20','2001-12-20','2002-11-06','2002-11-25','2002-12-18','2003-10-03','2004-11-27','2004-12-20','2005-11-21','2005-11-21','2005-11-21','2006-11-01','2006-11-01','2006-12-05','2006-12-05','2006-12-05','2007-10-23','2007-11-06','2007-11-06','2007-11-20','2008-10-14','2008-10-14','2008-10-30','2008-11-20','2008-12-01'}",2008-12-01,680
P13,"2012-02-25",4,"{'2003-11-18','2003-11-18','2003-11-18','2003-11-22'}",2003-11-22,3017
P14,"2012-06-26",3,"{'2002-11-29','2005-10-03','2005-10-31'}",2005-10-31,2430
P15,"2010-10-14",12,"{'2001-11-11','2002-11-22','2003-11-13','2004-11-25','2004-12-01','2004-12-20','2005-11-21','2006-11-01','2006-12-05','2008-09-28','2008-12-01','2009-11-23'}",2009-11-23,325
P16,"2012-02-27",5,"{'2002-11-29','2003-10-03','2003-10-06','2006-09-21','2006-09-21'}",2006-09-21,1985
P17,"2012-06-30",1,{'2001-11-17'},2001-11-17,3878
P18,"2011-11-10",5,"{'2002-11-25','2003-09-21','2003-11-09','2007-10-17','2007-10-17'}",2007-10-17,1485
P19,"2012-02-09",7,"{'2001-09-12','2002-09-26','2002-10-20','2004-09-21','2004-09-21','2008-10-12','2009-09-15'}",2009-09-15,877
P2,"2012-07-07",3,"{'2002-08-30','2005-09-06','2007-10-21'}",2007-10-21,1721
P20,"2011-11-11",8,"{'2002-11-22','2002-11-22','2004-09-15','2005-11-23','2006-12-03','2007-11-15','2008-11-29','2008-11-29'}",2008-11-29,1077
P21,"2011-11-08",17,"{'2001-11-15','2002-11-17','2002-12-01','2003-10-31','2003-11-04','2004-09-17','2004-11-15','2004-12-06','2005-11-29','2006-11-08','2006-11-26','2006-11-26','2008-11-15','2008-11-15','2008-11-22','2008-11-22','2009-10-24'}",2009-10-24,745
P22,"2011-11-09",4,"{'2006-09-09','2008-09-24','2008-10-30','2008-10-30'}",2008-10-30,1105
P23,"2012-02-21",13,"{'2001-10-17','2001-11-16','2001-12-07','2001-12-07','2002-11-29','2002-11-29','2004-11-18','2004-11-22','2005-09-25','2005-10-04','2005-11-30','2006-10-23','2007-11-20'}",2007-11-20,1554
P24,"2012-07-03",3,"{'2004-11-02','2004-11-02','2006-10-09'}",2006-10-09,2094
P25,"2012-07-04",4,"{'2001-11-11','2001-11-11','2003-09-24','2007-11-20'}",2007-11-20,1688
P26,"2012-01-30",1,{'2004-11-27'},2004-11-27,2620
P27,"2011-08-07",15,"{'2002-11-12','2004-11-06','2004-11-13','2004-11-13','2004-11-14','2004-11-14','2004-12-26','2007-09-20','2009-10-14','2009-10-14','2009-10-14','2009-10-14','2009-11-14','2011-07-26','2011-07-26'}",2011-07-26,12
P28,"2011-08-08",10,"{'2002-11-13','2003-10-28','2003-10-31','2003-11-18','2004-12-17','2004-12-17','2005-11-19','2009-10-15','2009-10-23','2009-11-07'}",2009-11-07,639
P29,"2012-07-03",15,"{'2002-10-25','2003-10-06','2003-10-06','2003-10-06','2003-11-04','2005-10-08','2005-10-08','2005-10-08','2007-10-03','2007-10-23','2007-10-23','2009-10-08','2009-10-24','2011-12-19','2011-12-19'}",2011-12-19,197
P3,"2012-07-06",11,"{'2002-10-26','2002-11-22','2005-10-06','2005-10-08','2005-10-08','2005-10-08','2008-10-30','2009-10-22','2009-11-11','2011-10-23','2011-11-04'}",2011-11-04,245
P30,"2010-07-03",7,"{'2003-11-22','2004-10-28','2005-10-07','2005-10-07','2005-10-19','2006-11-15','2007-11-15'}",2007-11-15,961
P31,"2010-07-03",14,"{'2006-10-20','2006-10-23','2007-09-10','2007-09-10','2007-09-20','2008-10-04','2008-10-26','2008-10-26','2008-10-28','2009-09-22','2009-10-17','2009-10-17','2009-11-06','2009-11-06'}",2009-11-06,239
P32,"2011-07-22",9,"{'2004-12-04','2005-10-01','2005-10-24','2005-10-24','2006-10-14','2006-10-14','2006-10-14','2006-10-14','2007-09-10'}",2007-09-10,1411
P33,"2011-07-23",1,{'2007-09-29'},2007-09-29,1393
P34,"2011-07-24",15,"{'2001-11-13','2003-10-29','2003-10-29','2003-10-29','2003-11-16','2003-11-16','2004-12-16','2005-10-04','2006-10-11','2007-09-17','2008-03-20','2008-11-27','2008-11-28','2009-09-28','2009-10-03'}",2009-10-03,659
P35,"2011-07-20",9,"{'2002-10-30','2006-10-12','2007-07-24','2007-09-14','2007-11-10','2007-11-10','2008-10-10','2009-11-02','2009-11-02'}",2009-11-02,625
P36,"2010-06-29",15,"{'1998-09-22','2002-10-31','2002-10-31','2003-09-10','2003-09-10','2003-11-07','2004-10-14','2004-10-14','2004-11-02','2005-10-19','2006-11-01','2007-10-05','2007-10-23','2008-10-19','2009-08-30'}",2009-08-30,303
P37,"2010-06-28",10,"{'2002-10-28','2003-10-28','2004-10-03','2005-10-01','2005-10-12','2006-10-14','2007-10-09','2007-11-18','2007-11-20','2008-11-08'}",2008-11-08,597
P38,"2011-07-19",9,"{'2000-10-26','2002-11-10','2005-10-17','2005-10-17','2005-10-17','2006-10-31','2009-09-17','2009-11-25','2009-11-25'}",2009-11-25,601
P39,"2013-01-17",2,"{'2007-09-19','2007-09-19'}",2007-09-19,1947
P4,"2012-07-06",12,"{'2002-11-22','2005-10-06','2005-10-08','2005-10-08','2005-10-08','2005-10-08','2008-10-30','2008-11-25','2009-10-22','2009-11-11','2011-10-23','2011-11-04'}",2011-11-04,245
P40,"2013-01-17",16,"{'2002-11-10','2002-11-10','2003-10-19','2004-10-21','2007-09-19','2007-09-19','2007-09-19','2007-09-19','2007-10-14','2007-10-24','2008-11-08','2008-11-08','2012-11-17','2012-11-17','2012-11-19','2012-11-26'}",2012-11-26,52
P41,"2013-01-17",7,"{'2003-10-24','2006-11-01','2008-10-30','2008-10-30','2008-11-17','2008-11-17','2008-11-17'}",2008-11-17,1522
P42,"2013-01-17",1,{'2005-10-31'},2005-10-31,2635
P43,"2012-11-01",6,"{'2001-10-14','2001-10-14','2001-10-16','2001-10-16','2012-10-23','2012-10-30'}",2012-10-30,2
P5,"2012-07-06",6,"{'2005-10-08','2005-10-08','2008-11-25','2008-11-25','2009-10-22','2009-10-24'}",2009-10-24,986
P6,"2012-02-18",6,"{'2002-08-29','2003-11-20','2004-11-23','2004-11-23','2008-11-13','2009-12-02'}",2009-12-02,808
P7,"2011-07-11",7,"{'2002-11-29','2002-11-29','2002-12-15','2006-04-04','2006-12-01','2009-12-18','2009-12-18'}",2009-12-18,570
P8,"2012-07-08",12,"{'2002-10-14','2002-11-24','2002-11-26','2002-11-26','2004-12-11','2004-12-13','2007-11-20','2011-09-28','2011-10-07','2011-10-07','2011-10-08','2011-12-26'}",2011-12-26,195
P9,"2010-07-04",15,"{'2000-11-05','2000-11-05','2002-11-01','2003-07-20','2003-10-24','2003-12-09','2006-10-21','2006-10-21','2006-10-21','2006-11-28','2007-10-22','2007-10-22','2009-10-31','2009-11-04','2009-11-16'}",2009-11-16,230
